,gameId,TeamTwoWin,Team1P1,Team1P2,Team1P3,Team1P4,Team1P5,Team2P1,Team2P2,Team2P3,Team2P4,Team2P5,Team1P1Role,Team1P2Role,Team1P3Role,Team1P4Role,Team1P5Role,Team2P1Role,Team2P2Role,Team2P3Role,Team2P4Role,Team2P5Role,Team1P1SID,Team1P2SID,Team1P3SID,Team1P4SID,Team1P5SID,Team2P1SID,Team2P2SID,Team2P3SID,Team2P4SID,Team2P5SID
685,3902322931,Win,110,141,89,79,84,203,119,4,80,106,DUO_CARRY,JUNGLE,DUO_SUPPORT,TOP,MIDDLE,MIDDLE,TOP,MIDDLE,SOLO,JUNGLE,PWQt-qgASthMgzXALRyJduv9Pcyt0KJPJVrOnJRHKgzdZMI,ClBMbF4I3BzSzKwAJMtyfSJRBxhD14CdZiHXktmltcNDQvg,VMttv-g8Jw2jYzcM7INis1O_FPjMCBAlWz_Z5TIt8ek3njA,5il1TS2Dn5p7WEjXHF_kCs6WSPq-IIyLE4awqgsQCW9cacQ,cpfqSxDKcxobWTlILzUG17T3FZXGYrn2AZKxDHU549y31xg,0FrXnZrnU0CJyYKIzKFs35av_bLyCwSlsqEDrFQLrwyLOhv9PaEhytv_bg,gQaFGBObtoZ8-tlq94iYGFlwPIA4MfKJCTz4Orhe2x3Megzzr1VgH3nV5w,0ERhpbIa9BoEy8vflUboxxWm0-FCe-6Cikf2XwhsCBmayMs,8UTKPrd6BBk_JTsjHVZGZ1rt4q3-igGyIjeKcn3jI7SNqYBU1lgehPsdnQ,1B9Xc0C8N48UmmsQEgpRWHnBJlU9XtpISlIThKiF4wHOnxA
686,3902307400,Fail,236,131,54,18,412,875,3,20,119,203,MIDDLE,JUNGLE,TOP,MIDDLE,SOLO,MIDDLE,SOLO,JUNGLE,MIDDLE,MIDDLE,6FIk2Gg67OkliUmVH-VR36HXiKwR9sm-X4k1oVeNmhO2c7Y,Eobqt-a9PSXsNmM3mTZC8QlU3pk8FM8MkoEaQYArOZ8cLRs,sl8069FRto2LEhtq_82HkpmLcLNXepOk8zjiJIGbVEgUs5U,r22_6v0G3vMBCDNwS-KusCqPgEmq4tITr0UMQlu7tUGG3NQ,MFs1I3YkYV4rC0lFKvWLvSAKFgRSPIngtg6E8tYQdgJuLAI,hD1PrVLOVFA1OtcP2T8TACrHP-QBhFf1l1e2C5wP2s60Fww,vuI0T0zi3ALzv23w7USAOxtXHXKwiIyanHQUXRVn52kM1_I,xvLPBWVUDKwaRaGnTE83bVOUGWxuXf1HaPEE8iQWD67fqF3FHnChqtHk7g,NWlFLsBruR4hlJq01pNYDucSGr4L-bF6TJX6tfbcdVHt-UhfOzZvu2jhPA,0FrXnZrnU0CJyYKIzKFs35av_bLyCwSlsqEDrFQLrwyLOhv9PaEhytv_bg
687,3925043323,Fail,101,64,15,40,114,103,81,20,164,117,MIDDLE,JUNGLE,SOLO,MIDDLE,TOP,MIDDLE,DUO_CARRY,JUNGLE,TOP,DUO_SUPPORT,ya37u-i-N9rqm2MRKJV0liD2faVlosAOihNzAngfFNHOBxLA,3iaFGRSdVx3qBcRZJsK6QZqzqHJZKg3P27rNi0KwzfJYp3gZ,VJA8Awli_xQy0T6u5JbksqCVZK5haemt5y7D2azgz8-CcDc,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,Fpvc1oIwcXtzWCqCa20snZoN2wSksW8OWUrWH6QH-NjN0ZM,39TRcQkTArgCaH4e9XF9rhv8PUV_6lYj5WpPo7wuuazS99M,PFFT7Aagym-Vi5bgHakgc0niLSBc9RxqILaypPBuQiJNwms,MUeSeodC---XriazXaQWj2xm-wIiuCd21o1K7x-rKc6AWgU,xY2CYvwXUx8i0xSI9Qx5-AnOhHp3NAadVjvDdZeteCJcqqU,Tv3SmtHSPQgZAaAhJZ7xUDZCCMJdXbA-juejeHi5R2CPLtc
688,3924959684,Win,887,222,101,246,76,235,141,517,82,202,TOP,DUO_CARRY,DUO_SUPPORT,MIDDLE,JUNGLE,JUNGLE,JUNGLE,MIDDLE,TOP,SOLO,WZKUGm8YQiNuFl13o1m1KXT-aPQ7sVo8vdz00snpuOFPlG0,VJA8Awli_xQy0T6u5JbksqCVZK5haemt5y7D2azgz8-CcDc,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,YA0OwafoqPKQL-0o93R4Ovxgvg8gV-2FgZM9znCQKjCp6hNV,2jy6vZ-Q1H5Su7Z9scfG4Yqrp-sw4sRFg52AkAl61yjQRvA,_qbrlBnSSd-ZuMqUldhTgVGsNkJ8dpF02Rgm3mubBd23lv8,K4zyYEuO68nkW2ChEBuAF4DVAyTgUbUbOI7lvl1n4jw_SOg,RaE-zQuzyYS49hzwPbZRp9tlYDZfq9LR01Z6y8A2-uxawroj,K9FBKpnK5SXMujkSRvnyVgaGpKHzpAMWqMT_TLMzJ_WHTV4,1A-cXgng7kctFa79jtnz-TF5LM9g1SibVsgNzTTt03pcwhs
689,3924955739,Fail,111,22,555,777,82,236,201,19,16,5,JUNGLE,DUO_CARRY,DUO_SUPPORT,MIDDLE,TOP,DUO_CARRY,DUO_SUPPORT,JUNGLE,TOP,MIDDLE,wxIBRV7C32Xbq2yhaSFVpn08Pp4d8ocz65qiH50Js3bX9hQ,VJA8Awli_xQy0T6u5JbksqCVZK5haemt5y7D2azgz8-CcDc,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,RaE-zQuzyYS49hzwPbZRp9tlYDZfq9LR01Z6y8A2-uxawroj,K9FBKpnK5SXMujkSRvnyVgaGpKHzpAMWqMT_TLMzJ_WHTV4,qJnebLr_tR8fgwjmgO1qFDP9zH6K1VBZMKWZI1CrJtQOkGA,HOXNmNrH80tZzZ5jfccZ7qqEyfhswEU-s3tnH79n97mMeHc,HvZwUGADW1jK_W8ZztAjMiY0Nxv1fZrPsHFulE1yUthshA0,zIFNRSct-xaUXuaWgfnsMDLek3s24ZGZ1Wj483wzEGlboBU,yk8H4TvkkSSEzq71vaMafI3iU66pj0H8PxKmwbQ0ERl197Q
690,3924951391,Win,234,238,145,240,432,23,147,235,246,39,JUNGLE,TOP,DUO_CARRY,MIDDLE,DUO_SUPPORT,JUNGLE,SOLO,JUNGLE,MIDDLE,TOP,ZLpaFsompr4BAy0Zue9XsJQ0teiQKPTpf7Ae8KXVEDOBMaXN,KiXCOMk8MWov4qY7LmxCpWn8hyLBR9ouTfvsTNg4pDzRVfI,xtvxKfvxuAgO59WsbTVIpDI4I3wycwaxoYHBKL_Eb-vzwqc,eNlUDhv01hPNprosJ16ro9jdnBTdSHt4w4Ba975Rw_tjv6Q,vOLNgLvB_OMC6UWsHBs7JEdkWc7uo-CrsMjgeiZ9qa6PkcI,xJuP6rrMjoaoydR0gRkIcTGNQQoutdDUXpU5crrGB7AKhdw,VJA8Awli_xQy0T6u5JbksqCVZK5haemt5y7D2azgz8-CcDc,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,CXpPLEdL5QGO8FTW0NxV9Ta1UL0QL3k6Nafd5D6IxqncfQJPBL9RatE-Gg,PxgUFhPk2DJasfLf-6p8emmebV4nKhmAXd4XqM86-M_TCE4
691,3924897250,Win,81,350,106,164,887,498,497,517,122,68,DUO_CARRY,DUO_SUPPORT,JUNGLE,TOP,MIDDLE,DUO_CARRY,DUO_SUPPORT,MIDDLE,TOP,JUNGLE,VJA8Awli_xQy0T6u5JbksqCVZK5haemt5y7D2azgz8-CcDc,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,0sB_V0UyVnJ7Da9PV7LPq7CnxF32vn7RXM8jgCE7XLdwlq8,mMuuPx7sWHcMWkms1fDX0wM2zWiGyRUhN-_Z50pjeEoN1mo,Zb4AiLP4ETpS11wUkqRqthjAKLSObrTtUV3jqxhPjiYQIlg,s83dM5AOAlEd0SYXsUL9WNFc-fs2x4wMRoewbe9AB4U-6qA,e33zLw0oHE1mJ11z4ckrKPTF_KQJMEZ03P-pbE6l6B0CCGM,XXuhlZgB8mKkse4kwQIcHCfNg45lFF5cHQkakga4RiZ9XyU,eDz-VkRcKoDP6JgkfErgXB57PH7imQ_Jpgauu3aO6R_5rII,pT0k0fQiZN1sZ58sg2sx3-m4regMZfNuIrGQMnQ26DBMBKE
692,3924231031,Win,145,60,89,58,23,150,26,245,81,106,DUO_CARRY,JUNGLE,DUO_SUPPORT,MIDDLE,TOP,TOP,DUO_SUPPORT,MIDDLE,DUO_CARRY,JUNGLE,9UK13q8YVEb-wRRhacL9JBSbY-umIVdWSx_SPM3cUfujFFbUQqBwTMWVtw,J8KNyswKN5hAvv6ZNGZaKEaZbCg3cLQjGlxfYVbyJ8faaV95,7FrDnT8j9iNnIuKx8tjCmYC8dd1mWFB24MTAy58FFtmhtg4,RyQ2vQzxQSP-4o6DK8aBFEZiC1tdSf34IDxOnVITXozVPCpJC2S1SbwWqQ,WaZakn_BvW4LLFNveyFHafXY0PAQg_4wH5VHwoKVTvdWuRVmc03w9nXPiA,XF_O3Ag5sByTUXHGer7V1h5TELAhM4iqKBiG_GFcUc1bCB54lJgK5TeAZQ,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,7rwpdZDhoaeeUrba49Dh3CRKwVdl3et86JfjEP_W-WT9xQk,tkTijnrzGhiKeaC5palGIz8gbKTiAqQOnlsoawe3bG2fDRPY,QMlnbLzP27xd_KNsR2gNwU7iqfHTV8jl2rvwCOfRxN7dIQo
693,3924152427,Fail,81,126,43,875,28,26,234,85,1,141,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,HqzysGweRMhh0iHcmezG8vI1_56l7Rk9_QXkvQu8jD5JIAk,sIBdaZ2-Q_9GPs4IuExzHm34992rNlohfSDntTVaNNjGlHA,fGukKC9Roug7RFM-bL7bey4HPHFp08ocq6nZCuhT26seLS8,3GR6DXLHDGVZqRSm2HIS-W742p0bjqFHHz6D96bFpePPxFY,NPm9-E6mgCpJx42SVQeKTZ-Q1iqOvLSKfQoUsML3q2yHgIdZcAEav-fF-Q,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,dpmfVnGK0Pq0mlhOG2YFgyu3lIsJ0q2UG9HjPRpis5Uj07Q,zSbTecyYZ3hCGfQlYEr-wfOUvC5FmKgFt7bHUJJ0WeixqG6ZMhbHAdrOIg,O20tdyEIEsrBdQfs4MuYM6VHsKFdyoxv1H1xRcX38CjeuN0Utt-9C6uPOw,leVt5-UyUX7urV4cQaXfBun11PzJod0JjlC4f4PJsEIZT7dYFTy3BYvxXA
694,3924086842,Fail,39,68,18,203,26,25,555,2,875,245,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6XgsXE1C5iC8Sg2VJnV_qIWenBBJ9hboJIUOiQBU4D2Ya4TR,_v0gjsooiDnrqFpBwjCKA5XfWSIldt92I-Jl8qyG8pgHexk,SxjTtCU0ls8KpZOm55xF0icpWpm4wGNW6oVveyNywkcxCiA,i6b7z6dqVslukNoSTXORU43tdhqUI0SgJbKw_RQ2DbZiHnA,5CKQ8bYWCdnW3AfUHcv4Qjy-1JMMOryUp_xB7pQgh2oHcZkw,uUFROP54CirP11SV8RlvYGnvsdKUsBH40efUr3o4sBv-AlFF,QbPQSCHA5YFT5Aejk2XgzWNvDkZpSIL-YgDT7H4OOvSYcBw,cwbgpZZ5sOIuvCSs5EmOwOiWtD3EbtEUYtisel4tIVmudM2_,7VTdDe4eLFdHd8_e_1RM529oO2DA_bs603XR3LUeYhkveGA,7rwpdZDhoaeeUrba49Dh3CRKwVdl3et86JfjEP_W-WT9xQk
