,summonerId,summonerName,leaguePoints,wins,losses,rank,accountId,winrate
158,o72sHRR2fLTjPd_iMvtuYx-1quupXDJ5eS7mcD_44eDS7lA,Hakuho,736,83,59,Challenger,8U8_rOLf4BQdIyaXR8-k011IETG2b_69eDMBVu7xjKvPcA,0.5845070422535211
159,bhGAsIu2uo-jyM26HGdAOHyhmqJdY0Yu-vzMHPiBuha5_3Bu,inthenightgarden,761,93,41,Challenger,M4MWdi9GJRjl_Ov7M_DBgpwDFAAs1CjVPikS07o7nDgIDmGm1Cy3Hb9L,0.6940298507462687
160,v09NePKtzuzOO0K_9q2nBUZc-twUapfx3fbKOWzcBS1v_czd,CLG Broxah,795,212,178,Challenger,rO3SCUTW4V3xH1BrqLSdylBBGr8rV6Ihpqiw-hyFSYJ_7-3C0TD9PgHz,0.5435897435897435
161,ckhQ8JfjxiYNzZfkBXgazLiT1ose6MeTiaBEdhxu6LY5vH7z,shadow reaIm,626,101,74,Challenger,uTmG7u1IIKq_Aspjfk1aXLAnemI_UTQUWLj5Ljh8TFa6n_KJC_G_vmux,0.5771428571428572
162,_4u1q6Hrwh8vSWH0_uWM3doIM2NOhrvKUyKNzZAbwPQg6dc,Chaeha,737,309,289,Challenger,VG1J8iCwNKBxYnQxudDDlxshIAj2ofrR1ANqmkuUw37kwQ,0.5167224080267558
163,xmvOl-aFlzZnvbiSRas5M76SMpvklz35qMzMjMKCH4uGYEI,Matty,635,190,160,Challenger,bX-V5V5RHz0kjYfz-gl52NM7DPXrAeSKT0zTrqjTGeaWF5Y,0.5428571428571428
164,D_oa4tTWHTwiy8GSX7Ch7XPwFbz61h34N3NGGwEMJMvW1ng,TL Armao,1159,390,346,Challenger,S2RyyiUjFsTMty5OdIipW-IiIw3lpR3DqVMAoSUDUFBqiA,0.529891304347826
165,JqZojivEgZRIjMM94GeIzuBQGqyop-mV6ByEDrv1rTujrwc,Khappaccino,636,161,140,Challenger,kLj_H5WCNKnlMbGTkw0yLJuXlb8MV-4vGVRqGRKsQDe39g,0.5348837209302325
166,YbQngpMYCmAvkQc1hxBVxVLnWXfM2kTbgPeAIJGDhd_Ces4,adcsucks s11,626,264,185,Challenger,9MHVZV8ZxH-yT6DE47lPajP6EDYHSPy3E-dpITc0fg_tam0,0.5879732739420935
167,NWlFLsBruR4hlJq01pNYDucSGr4L-bF6TJX6tfbcdVHt-UhfOzZvu2jhPA,hotaze,668,241,215,Challenger,,0.5285087719298246
168,vSwlkf5yV5A4tSnQWqYu5FgQNI3Imb1VfBb9Nez9pjm5GsU,Scenari0,834,242,201,Challenger,,0.54627539503386
169,eCZ2kDwiNd7Tdg7aOyUzdSoSyNBXcwZsXuafeAaD3si3_ThF,Hc9999,804,337,299,Challenger,,0.529874213836478
170,OEHYMJhU_DLYqAjhAGXdVqCpSeoNZrZrBfH5TisTdG4P00U,naidaaka,742,97,64,Challenger,,0.6024844720496895
171,1B9Xc0C8N48UmmsQEgpRWHnBJlU9XtpISlIThKiF4wHOnxA,Max JG,623,327,313,Challenger,,0.5109375
172,u3CLaXnJS5bZ6UVThfDJXDDQZjg3ynNu63QJL4FhE4fgYVs,tibs2,627,175,147,Challenger,,0.5434782608695652
173,DT71iNpFV-UoWQ6oIkLZhODyZ_0hZyMmAxE05ZrzH_a-eCY,BobbyRob,655,75,54,Challenger,beicMguBy7H5n98dn3sYhxEb7Ew4359YCi22IIVp8eM-7dY,0.5813953488372093
174,Mcq2IL0qrmhl5jSC4RlfZ2dXCuw92Lm8Xd6zlh2rcZefORC6,ADCADC123,715,156,123,Challenger,181A90ZJkVtAj2TxxGJbjSbCqd-TNoyn-Z1IqlSd6JkJemnDlTsTx4uG,0.5591397849462365
175,E7KWnTRa3pAS96yBlTBsB05RELOyoAyA06u4cSPGFQWnfR0,C9 eXyu,817,356,334,Challenger,jSK-Bmcw4QS9I4vfVkU7uaJje-ipPhHtZKVT60kNNkffoQ,0.5159420289855072
176,VE3IIeGN9nCYQiz8-zI0vA37n6t0INWDSGXEyz3GaOhJKQvJ,Spirax,818,149,120,Challenger,vi55EApt9z5N0dyaX811pOS8YDGmEMLrzmKAm_ttaVowjxgf8lQKRUbm,0.5539033457249071
177,LMAy8X0uvf8qz9SzjIYYFarMa7nXvM0xNeet8ImhpYyXeKY,Alex Blais,710,120,97,Challenger,mtKYq8LDmH-JBn6FPg4QJjKdwHYceJcuvpjrumlfSSNTPw,0.5529953917050692
