champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Varus,Draven,110,119,2.51,2.1,0.5137,0.4863,0.475,0.436,19717,18098,0 days 00:17:41,0 days 00:17:15,0.5169,0.4831,0.4991,0.4987,0.0774,0.0193,0.0151,0.0035
Swain,Sivir,50,15,2.67,2.52,0.5419,0.4581,0.501,0.461,20056,21080,0 days 00:16:37,0 days 00:18:59,0.4789,0.5211,0.5593,0.5184,0.012,0.0371,0.0096,0.012
Swain,Ashe,50,22,2.7,2.2,0.6079,0.3921,0.518,0.454,20009,17006,0 days 00:17:32,0 days 00:17:42,0.4839,0.5161,0.5593,0.5115,0.012,0.0531,0.0096,0.0017
Senna,Jhin,235,202,2.52,3.15,0.3857,0.6143,0.48,0.486,16017,17761,0 days 00:17:12,0 days 00:19:12,0.4409,0.5591,0.4795,0.511,0.0107,0.1309,0.2869,0.0033
Tahm Kench,Caitlyn,223,51,2.81,2.34,0.5937,0.4063,0.431,0.449,8794,19998,0 days 00:16:30,0 days 00:17:16,0.5211,0.4789,0.5429,0.5039,0.0098,0.0868,0.0023,0.011
Ezreal,Ashe,81,22,2.24,2.49,0.5002,0.4998,0.439,0.465,20907,16547,0 days 00:17:39,0 days 00:17:35,0.4733,0.5267,0.4785,0.5115,0.2779,0.0531,0.0323,0.0017
Draven,Twitch,119,29,1.91,2.67,0.4665,0.5335,0.433,0.524,18978,20903,0 days 00:18:01,0 days 00:16:43,0.4839,0.5161,0.4987,0.5086,0.0193,0.0151,0.0035,0.0014
Kai'Sa,Kog'Maw,145,96,2.6,2.25,0.5183,0.4817,0.471,0.488,17021,22766,0 days 00:17:11,0 days 00:18:01,0.5011,0.4989,0.5018,0.4997,0.3738,0.0264,0.0619,0.0025
Aphelios,Jhin,523,202,1.92,3.33,0.4301,0.5699,0.428,0.505,17225,17147,0 days 00:17:36,0 days 00:16:53,0.4632,0.5368,0.4687,0.511,0.0365,0.1309,0.0039,0.0033
Miss Fortune,Senna,21,235,2.43,2.66,0.5265,0.4735,0.453,0.494,18406,16054,0 days 00:18:40,0 days 00:17:08,0.5471,0.4529,0.5107,0.4795,0.0356,0.0107,0.0012,0.2869
