champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Fiddlesticks,Rammus,9,33,3.06,2.86,0.524,0.496,16888,11500,0.5023,0.4977,0.5293,0.5005,0.0349,0.0151,0.0151,0.0178
Zac,Morgana,154,25,3.2,3.35,0.501,0.538,12263,17931,0.4718,0.5282,0.5129,0.5135,0.0361,0.0793,0.0073,0.485
Kayn,Trundle,141,48,2.48,3.03,0.486,0.499,17589,13934,0.5029,0.4971,0.4961,0.4991,0.0639,0.0085,0.013,0.0007
Vi,Kindred,254,203,2.46,2.35,0.466,0.516,13200,17643,0.5083,0.4917,0.4944,0.5016,0.0131,0.1107,0.0008,0.0594
Lillia,Vi,876,254,2.45,2.68,0.489,0.477,16740,14766,0.4603,0.5397,0.454,0.4944,0.0152,0.0131,0.0037,0.0008
Lillia,Evelynn,876,28,2.33,3.09,0.47,0.502,16076,19381,0.4207,0.5793,0.454,0.5243,0.0152,0.0339,0.0037,0.0203
Rek'Sai,Morgana,421,25,2.53,3.14,0.513,0.53,14413,15621,0.4618,0.5382,0.5038,0.5135,0.0507,0.0793,0.0542,0.485
Kha'Zix,Hecarim,121,120,2.69,2.58,0.489,0.505,17609,13083,0.5645,0.4355,0.5083,0.4491,0.0498,0.0182,0.0054,0.019
Master Yi,Shyvana,11,102,2.23,2.54,0.459,0.439,16126,16055,0.4987,0.5013,0.466,0.4748,0.023,0.0057,0.0052,0.0008
Elise,Fiddlesticks,60,9,2.65,2.83,0.502,0.513,15172,16068,0.4741,0.5259,0.5268,0.5293,0.1231,0.0349,0.514,0.0151
Udyr,Nidalee,77,76,2.89,2.76,0.469,0.496,10415,15617,0.509,0.491,0.4838,0.4819,0.0211,0.104,0.0151,0.0465
Nocturne,Xin Zhao,56,5,2.56,2.35,0.506,0.493,14709,16410,0.4888,0.5112,0.498,0.5188,0.0378,0.0734,0.0236,0.0173
Lillia,Viego,876,234,2.53,2.41,0.484,0.47,16814,16024,0.457,0.543,0.454,0.4786,0.0152,0.0718,0.0037,0.1371
Diana,Shaco,131,35,2.24,3.13,0.49,0.527,17817,15146,0.488,0.512,0.4855,0.5114,0.0876,0.0741,0.0866,0.287
Graves,Viego,104,234,2.48,2.4,0.477,0.47,15409,15034,0.462,0.538,0.4524,0.4786,0.0537,0.0718,0.0228,0.1371
Viego,Evelynn,234,28,2.14,3.14,0.467,0.515,15570,20034,0.463,0.537,0.4786,0.5243,0.0718,0.0339,0.1371,0.0203
Taliyah,Shyvana,163,102,2.88,2.63,0.498,0.475,16903,16772,0.5455,0.4545,0.5241,0.4748,0.0269,0.0057,0.0032,0.0008
Lillia,Kindred,876,203,2.27,2.58,0.458,0.516,14781,17963,0.4353,0.5647,0.454,0.5016,0.0152,0.1107,0.0037,0.0594
Vi,Kayn,254,141,2.49,2.5,0.471,0.503,15082,17103,0.4852,0.5148,0.4944,0.4961,0.0131,0.0639,0.0008,0.013
Xin Zhao,Nidalee,5,76,2.4,2.62,0.483,0.5,15836,15777,0.5532,0.4468,0.5188,0.4819,0.0734,0.104,0.0173,0.0465
Gragas,Lee Sin,79,64,2.92,2.84,0.499,0.535,15593,14533,0.5064,0.4936,0.5147,0.5123,0.0191,0.2982,0.0032,0.4717
Volibear,Vi,106,254,3.12,2.36,0.491,0.482,12240,13865,0.5305,0.4695,0.5031,0.4944,0.0147,0.0131,0.0476,0.0008
Diana,Volibear,131,106,2.37,3.27,0.503,0.508,17518,13006,0.4706,0.5294,0.4855,0.5031,0.0876,0.0147,0.0866,0.0476
Vi,Shaco,254,35,2.27,3.14,0.466,0.524,13981,14903,0.4792,0.5208,0.4944,0.5114,0.0131,0.0741,0.0008,0.287
Lee Sin,Wukong,64,62,2.84,2.74,0.537,0.51,15057,15259,0.499,0.501,0.5123,0.4928,0.2982,0.0079,0.4717,0.0097
Lillia,Udyr,876,77,2.62,2.89,0.49,0.454,17358,10042,0.452,0.548,0.454,0.4838,0.0152,0.0211,0.0037,0.0151
Gragas,Morgana,79,25,2.7,3.24,0.464,0.533,14822,16886,0.4664,0.5336,0.5147,0.5135,0.0191,0.0793,0.0032,0.485
Vi,Poppy,254,78,2.46,2.94,0.472,0.508,13439,13763,0.5151,0.4849,0.4944,0.4965,0.0131,0.0305,0.0008,0.0381
