champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Volibear,Rek'Sai,106,421,2.87,2.59,0.503,0.516,12767,14738,0.5222,0.4778,0.5031,0.5038,0.0147,0.0507,0.0476,0.0542
Nidalee,Fiddlesticks,76,9,2.68,2.94,0.493,0.499,16359,15950,0.4429,0.5571,0.4819,0.5293,0.104,0.0349,0.0465,0.0151
Kha'Zix,Volibear,121,106,2.45,3.05,0.49,0.475,16731,12608,0.4512,0.5488,0.5083,0.5031,0.0498,0.0147,0.0054,0.0476
Shyvana,Elise,102,60,2.5,2.86,0.456,0.488,17444,14838,0.4719,0.5281,0.4748,0.5268,0.0057,0.1231,0.0008,0.514
Xin Zhao,Graves,5,104,2.46,2.36,0.473,0.479,15558,14955,0.5571,0.4429,0.5188,0.4524,0.0734,0.0537,0.0173,0.0228
Taliyah,Udyr,163,77,2.71,2.79,0.518,0.439,16140,9535,0.5271,0.4729,0.5241,0.4838,0.0269,0.0211,0.0032,0.0151
Rumble,Nidalee,68,76,2.68,2.82,0.512,0.499,18030,16938,0.503,0.497,0.4892,0.4819,0.1175,0.104,0.2828,0.0465
Lee Sin,Taliyah,64,163,2.74,2.71,0.527,0.544,14064,18761,0.494,0.506,0.5123,0.5241,0.2982,0.0269,0.4717,0.0032
Elise,Lee Sin,60,64,2.76,2.69,0.51,0.534,15423,13793,0.5244,0.4756,0.5268,0.5123,0.1231,0.2982,0.514,0.4717
Ekko,Zac,245,154,2.93,3.77,0.521,0.526,18340,13990,0.4845,0.5155,0.494,0.5129,0.0476,0.0361,0.0128,0.0073
Fiddlesticks,Rek'Sai,9,421,2.97,2.52,0.515,0.508,15761,14247,0.5587,0.4413,0.5293,0.5038,0.0349,0.0507,0.0151,0.0542
Jarvan IV,Morgana,59,25,3.29,2.89,0.591,0.518,12949,16281,0.4929,0.5071,0.5015,0.5135,0.0237,0.0793,0.0007,0.485
Lee Sin,Vi,64,254,2.89,2.38,0.534,0.486,14309,14019,0.4993,0.5007,0.5123,0.4944,0.2982,0.0131,0.4717,0.0008
Kindred,Poppy,203,78,2.16,2.77,0.502,0.489,17275,12849,0.4842,0.5158,0.5016,0.4965,0.1107,0.0305,0.0594,0.0381
Karthus,Rammus,30,33,2.66,2.89,0.578,0.489,27369,11506,0.4851,0.5149,0.522,0.5005,0.0283,0.0151,0.0393,0.0178
Rengar,Gragas,107,79,2.39,3.15,0.491,0.502,15535,15380,0.4508,0.5492,0.4819,0.5147,0.0086,0.0191,0.0111,0.0032
Karthus,Wukong,30,62,2.64,2.71,0.563,0.485,29181,16062,0.582,0.418,0.522,0.4928,0.0283,0.0079,0.0393,0.0097
Taliyah,Rammus,163,33,3.09,2.72,0.547,0.496,20146,11370,0.4985,0.5015,0.5241,0.5005,0.0269,0.0151,0.0032,0.0178
Taliyah,Karthus,163,30,2.91,2.52,0.537,0.58,18562,25336,0.4774,0.5226,0.5241,0.522,0.0269,0.0283,0.0032,0.0393
Rammus,Trundle,33,48,2.55,3.29,0.489,0.527,11520,13776,0.4405,0.5595,0.5005,0.4991,0.0151,0.0085,0.0178,0.0007
Vi,Trundle,254,48,2.67,2.86,0.483,0.509,14231,12467,0.5136,0.4864,0.4944,0.4991,0.0131,0.0085,0.0008,0.0007
Taliyah,Lillia,163,876,2.91,2.57,0.525,0.506,18623,17105,0.5365,0.4635,0.5241,0.454,0.0269,0.0152,0.0032,0.0037
Karthus,Ivern,30,427,2.27,3.85,0.558,0.517,22815,7998,0.4528,0.5472,0.522,0.5256,0.0283,0.009,0.0393,0.0018
Karthus,Rengar,30,107,2.55,2.45,0.563,0.504,26295,18670,0.5154,0.4846,0.522,0.4819,0.0283,0.0086,0.0393,0.0111
Morgana,Nidalee,25,76,2.93,2.67,0.5,0.49,15398,16552,0.5324,0.4676,0.5135,0.4819,0.0793,0.104,0.485,0.0465
Fiddlesticks,Sejuani,9,113,2.83,3.59,0.512,0.542,17026,13108,0.5152,0.4848,0.5293,0.5138,0.0349,0.0168,0.0151,0.0009
Volibear,Olaf,106,2,3.02,2.42,0.511,0.484,13280,16162,0.5438,0.4562,0.5031,0.4805,0.0147,0.0198,0.0476,0.0127
Jarvan IV,Graves,59,104,3.53,2.41,0.587,0.476,12613,15989,0.5563,0.4437,0.5015,0.4524,0.0237,0.0537,0.0007,0.0228
Shaco,Ekko,35,245,3.0,2.58,0.515,0.49,15686,16733,0.5095,0.4905,0.5114,0.494,0.0741,0.0476,0.287,0.0128
Amumu,Shaco,32,35,2.45,3.07,0.475,0.516,13299,15492,0.4735,0.5265,0.4848,0.5114,0.0063,0.0741,0.0017,0.287
Master Yi,Karthus,11,30,2.28,2.4,0.472,0.535,17653,24119,0.5453,0.4547,0.466,0.522,0.023,0.0283,0.0052,0.0393
Gwen,Lillia,887,876,2.28,2.95,0.442,0.491,16504,18088,0.514,0.486,0.4859,0.454,0.0113,0.0152,0.2427,0.0037
Nunu & Willump,Hecarim,20,120,3.28,2.8,0.542,0.515,11745,13859,0.5546,0.4454,0.505,0.4491,0.0373,0.0182,0.011,0.019
Hecarim,Evelynn,120,28,2.69,3.07,0.5,0.511,14082,20603,0.4525,0.5475,0.4491,0.5243,0.0182,0.0339,0.019,0.0203
Shyvana,Rek'Sai,102,421,2.48,2.87,0.453,0.509,18067,15202,0.4826,0.5174,0.4748,0.5038,0.0057,0.0507,0.0008,0.0542
Shaco,Rengar,35,107,2.98,2.13,0.513,0.465,14989,16136,0.5348,0.4652,0.5114,0.4819,0.0741,0.0086,0.287,0.0111
Graves,Master Yi,104,11,2.46,2.15,0.47,0.453,15013,15423,0.4724,0.5276,0.4524,0.466,0.0537,0.023,0.0228,0.0052
Rengar,Hecarim,107,120,2.33,2.69,0.467,0.502,16421,13717,0.5311,0.4689,0.4819,0.4491,0.0086,0.0182,0.0111,0.019
Poppy,Volibear,78,106,2.8,2.98,0.506,0.491,14106,13095,0.4913,0.5087,0.4965,0.5031,0.0305,0.0147,0.0381,0.0476
Lillia,Kha'Zix,876,121,2.32,2.58,0.466,0.478,15652,17750,0.4481,0.5519,0.454,0.5083,0.0152,0.0498,0.0037,0.0054
Elise,Viego,60,234,2.95,2.02,0.504,0.468,15572,14048,0.5576,0.4424,0.5268,0.4786,0.1231,0.0718,0.514,0.1371
Diana,Fiddlesticks,131,9,2.52,2.89,0.498,0.508,17582,15607,0.5008,0.4992,0.4855,0.5293,0.0876,0.0349,0.0866,0.0151
Xin Zhao,Olaf,5,2,2.31,2.49,0.492,0.489,16242,16449,0.4935,0.5065,0.5188,0.4805,0.0734,0.0198,0.0173,0.0127
Viego,Nunu & Willump,234,20,2.42,3.05,0.494,0.524,16441,10946,0.4837,0.5163,0.4786,0.505,0.0718,0.0373,0.1371,0.011
Trundle,Volibear,48,106,3.13,2.75,0.522,0.48,12992,13120,0.5595,0.4405,0.4991,0.5031,0.0085,0.0147,0.0007,0.0476
Lillia,Jax,876,24,2.9,2.28,0.535,0.418,18299,14106,0.4531,0.5469,0.454,0.4894,0.0152,0.0052,0.0037,0.0239
Trundle,Hecarim,48,120,3.04,2.57,0.516,0.504,12774,12994,0.5676,0.4324,0.4991,0.4491,0.0085,0.0182,0.0007,0.019
Wukong,Morgana,62,25,2.46,3.21,0.472,0.519,13292,16286,0.4463,0.5537,0.4928,0.5135,0.0079,0.0793,0.0097,0.485
Gwen,Shyvana,887,102,2.52,2.53,0.442,0.461,16145,17755,0.4899,0.5101,0.4859,0.4748,0.0113,0.0057,0.2427,0.0008
Kayn,Kha'Zix,141,121,2.21,2.6,0.483,0.479,16882,18375,0.4807,0.5193,0.4961,0.5083,0.0639,0.0498,0.013,0.0054
Jax,Taliyah,24,163,2.08,2.8,0.436,0.54,12524,18569,0.4112,0.5888,0.4894,0.5241,0.0052,0.0269,0.0239,0.0032
Olaf,Rumble,2,68,2.37,2.76,0.487,0.521,16241,18777,0.4897,0.5103,0.4805,0.4892,0.0198,0.1175,0.0127,0.2828
Nocturne,Fiddlesticks,56,9,2.75,2.78,0.504,0.506,15011,16247,0.5016,0.4984,0.498,0.5293,0.0378,0.0349,0.0236,0.0151
Karthus,Vi,30,254,2.58,2.53,0.562,0.459,25275,13668,0.5097,0.4903,0.522,0.4944,0.0283,0.0131,0.0393,0.0008
Kindred,Rengar,203,107,2.19,2.32,0.504,0.474,17022,15970,0.5057,0.4943,0.5016,0.4819,0.1107,0.0086,0.0594,0.0111
Zac,Lee Sin,154,64,3.63,2.85,0.535,0.54,13749,15736,0.5287,0.4713,0.5129,0.5123,0.0361,0.2982,0.0073,0.4717
Gwen,Nocturne,887,56,2.46,2.73,0.479,0.494,17001,15424,0.4858,0.5142,0.4859,0.498,0.0113,0.0378,0.2427,0.0236
Volibear,Rengar,106,107,3.06,2.22,0.49,0.477,12860,15729,0.5342,0.4658,0.5031,0.4819,0.0147,0.0086,0.0476,0.0111
Lee Sin,Karthus,64,30,3.0,2.41,0.527,0.566,15359,25936,0.5113,0.4887,0.5123,0.522,0.2982,0.0283,0.4717,0.0393
Vi,Viego,254,234,2.4,2.44,0.47,0.489,13816,16003,0.4884,0.5116,0.4944,0.4786,0.0131,0.0718,0.0008,0.1371
Nunu & Willump,Rammus,20,33,3.31,2.74,0.555,0.504,12144,11994,0.5316,0.4684,0.505,0.5005,0.0373,0.0151,0.011,0.0178
Poppy,Ivern,78,427,2.44,3.6,0.482,0.516,11774,8208,0.4872,0.5128,0.4965,0.5256,0.0305,0.009,0.0381,0.0018
Master Yi,Wukong,11,62,1.9,3.17,0.453,0.487,15038,14442,0.4513,0.5487,0.466,0.4928,0.023,0.0079,0.0052,0.0097
Lee Sin,Warwick,64,19,2.72,2.52,0.539,0.513,14978,13604,0.4807,0.5193,0.5123,0.51,0.2982,0.0223,0.4717,0.003
Ekko,Viego,245,234,2.97,2.3,0.506,0.48,17252,16768,0.5285,0.4715,0.494,0.4786,0.0476,0.0718,0.0128,0.1371
Olaf,Viego,2,234,2.4,2.47,0.482,0.492,16109,16581,0.469,0.531,0.4805,0.4786,0.0198,0.0718,0.0127,0.1371
Viego,Gragas,234,79,2.27,2.96,0.478,0.483,15640,15672,0.4831,0.5169,0.4786,0.5147,0.0718,0.0191,0.1371,0.0032
Volibear,Fiddlesticks,106,9,3.27,2.76,0.509,0.502,12886,15887,0.504,0.496,0.5031,0.5293,0.0147,0.0349,0.0476,0.0151
Jax,Lillia,24,876,2.28,2.9,0.418,0.535,14106,18299,0.5469,0.4531,0.4894,0.454,0.0052,0.0152,0.0239,0.0037
Sejuani,Ivern,113,427,3.4,3.6,0.518,0.459,11602,8169,0.5152,0.4848,0.5138,0.5256,0.0168,0.009,0.0009,0.0018
Taliyah,Kha'Zix,163,121,2.38,2.62,0.518,0.492,17604,17180,0.457,0.543,0.5241,0.5083,0.0269,0.0498,0.0032,0.0054
Kha'Zix,Wukong,121,62,2.48,2.78,0.47,0.488,16062,13941,0.494,0.506,0.5083,0.4928,0.0498,0.0079,0.0054,0.0097
Olaf,Ekko,2,245,2.39,3.01,0.467,0.513,16775,17705,0.5067,0.4933,0.4805,0.494,0.0198,0.0476,0.0127,0.0128
Karthus,Olaf,30,2,2.46,2.59,0.562,0.478,25017,15592,0.5134,0.4866,0.522,0.4805,0.0283,0.0198,0.0393,0.0127
Rammus,Jax,33,24,3.0,2.27,0.507,0.446,12281,13702,0.5336,0.4664,0.5005,0.4894,0.0151,0.0052,0.0178,0.0239
Shaco,Vi,35,254,3.14,2.27,0.524,0.466,14903,13981,0.5208,0.4792,0.5114,0.4944,0.0741,0.0131,0.287,0.0008
Trundle,Gwen,48,887,3.34,2.24,0.509,0.463,13845,17360,0.5634,0.4366,0.4991,0.4859,0.0085,0.0113,0.0007,0.2427
Nocturne,Warwick,56,19,2.54,2.54,0.507,0.513,15445,13656,0.4815,0.5185,0.498,0.51,0.0378,0.0223,0.0236,0.003
Amumu,Jax,32,24,2.52,2.42,0.45,0.441,12258,14566,0.4775,0.5225,0.4848,0.4894,0.0063,0.0052,0.0017,0.0239
Graves,Lee Sin,104,64,2.33,3.02,0.482,0.522,15861,14193,0.4439,0.5561,0.4524,0.5123,0.0537,0.2982,0.0228,0.4717
Rengar,Lee Sin,107,64,2.12,3.08,0.475,0.532,15485,15293,0.4228,0.5772,0.4819,0.5123,0.0086,0.2982,0.0111,0.4717
Wukong,Lillia,62,876,2.67,2.72,0.49,0.517,15109,18200,0.5278,0.4722,0.4928,0.454,0.0079,0.0152,0.0097,0.0037
Nunu & Willump,Ekko,20,245,3.16,2.98,0.535,0.518,11798,17956,0.5015,0.4985,0.505,0.494,0.0373,0.0476,0.011,0.0128
Volibear,Gwen,106,887,2.95,2.55,0.504,0.486,13122,18578,0.5185,0.4815,0.5031,0.4859,0.0147,0.0113,0.0476,0.2427
Shaco,Amumu,35,32,3.07,2.45,0.516,0.475,15492,13299,0.5265,0.4735,0.5114,0.4848,0.0741,0.0063,0.287,0.0017
Nidalee,Jarvan IV,76,59,2.62,3.3,0.502,0.588,16372,12751,0.4627,0.5373,0.4819,0.5015,0.104,0.0237,0.0465,0.0007
Graves,Hecarim,104,120,2.52,2.8,0.47,0.5,16717,13045,0.5141,0.4859,0.4524,0.4491,0.0537,0.0182,0.0228,0.019
Taliyah,Wukong,163,62,2.92,2.3,0.531,0.483,17167,11945,0.5528,0.4472,0.5241,0.4928,0.0269,0.0079,0.0032,0.0097
Zac,Trundle,154,48,3.78,2.94,0.526,0.523,13693,13976,0.5486,0.4514,0.5129,0.4991,0.0361,0.0085,0.0073,0.0007
Rek'Sai,Warwick,421,19,2.59,2.51,0.534,0.507,15143,13170,0.4779,0.5221,0.5038,0.51,0.0507,0.0223,0.0542,0.003
Shaco,Morgana,35,25,2.79,2.83,0.509,0.506,14796,15928,0.4963,0.5037,0.5114,0.5135,0.0741,0.0793,0.287,0.485
Trundle,Lee Sin,48,64,2.83,2.94,0.511,0.536,13000,15142,0.4992,0.5008,0.4991,0.5123,0.0085,0.2982,0.0007,0.4717
Olaf,Diana,2,131,2.68,2.41,0.506,0.501,16814,17912,0.5037,0.4963,0.4805,0.4855,0.0198,0.0876,0.0127,0.0866
Olaf,Karthus,2,30,2.59,2.46,0.478,0.562,15592,25017,0.4866,0.5134,0.4805,0.522,0.0198,0.0283,0.0127,0.0393
Master Yi,Xin Zhao,11,5,2.1,2.44,0.473,0.485,15640,15832,0.4836,0.5164,0.466,0.5188,0.023,0.0734,0.0052,0.0173
Jax,Shaco,24,35,2.05,3.02,0.426,0.517,13912,15262,0.4855,0.5145,0.4894,0.5114,0.0052,0.0741,0.0239,0.287
Rengar,Rumble,107,68,2.23,2.74,0.478,0.52,16146,18761,0.4723,0.5277,0.4819,0.4892,0.0086,0.1175,0.0111,0.2828
Nunu & Willump,Xin Zhao,20,5,2.85,2.56,0.533,0.503,10878,17019,0.4759,0.5241,0.505,0.5188,0.0373,0.0734,0.011,0.0173
Rek'Sai,Shyvana,421,102,2.87,2.48,0.509,0.453,15202,18067,0.5174,0.4826,0.5038,0.4748,0.0507,0.0057,0.0542,0.0008
Shyvana,Poppy,102,78,2.57,2.93,0.457,0.493,18511,14303,0.5138,0.4862,0.4748,0.4965,0.0057,0.0305,0.0008,0.0381
Ekko,Shaco,245,35,2.58,3.0,0.49,0.515,16733,15686,0.4905,0.5095,0.494,0.5114,0.0476,0.0741,0.0128,0.287
Ivern,Master Yi,427,11,3.07,2.07,0.458,0.462,7164,14399,0.4723,0.5277,0.5256,0.466,0.009,0.023,0.0018,0.0052
Elise,Wukong,60,62,2.76,2.61,0.502,0.48,15249,13694,0.509,0.491,0.5268,0.4928,0.1231,0.0079,0.514,0.0097
Vi,Evelynn,254,28,2.5,2.99,0.472,0.511,14133,18850,0.5253,0.4747,0.4944,0.5243,0.0131,0.0339,0.0008,0.0203
Evelynn,Shaco,28,35,2.67,2.89,0.505,0.514,20452,15804,0.4967,0.5033,0.5243,0.5114,0.0339,0.0741,0.0203,0.287
Fiddlesticks,Lee Sin,9,64,2.83,2.94,0.513,0.539,16174,14722,0.5182,0.4818,0.5293,0.5123,0.0349,0.2982,0.0151,0.4717
Kha'Zix,Shaco,121,35,2.23,2.91,0.464,0.511,16586,15355,0.4753,0.5247,0.5083,0.5114,0.0498,0.0741,0.0054,0.287
Evelynn,Trundle,28,48,3.02,2.95,0.52,0.498,20005,13168,0.4901,0.5099,0.5243,0.4991,0.0339,0.0085,0.0203,0.0007
Rumble,Lee Sin,68,64,2.6,2.95,0.53,0.535,18728,14886,0.4688,0.5312,0.4892,0.5123,0.1175,0.2982,0.2828,0.4717
Nocturne,Jax,56,24,2.84,2.28,0.505,0.455,15093,14827,0.5008,0.4992,0.498,0.4894,0.0378,0.0052,0.0236,0.0239
Karthus,Taliyah,30,163,2.52,2.91,0.58,0.537,25336,18562,0.5226,0.4774,0.522,0.5241,0.0283,0.0269,0.0393,0.0032
Nocturne,Lee Sin,56,64,2.64,2.82,0.506,0.533,15123,14728,0.5054,0.4946,0.498,0.5123,0.0378,0.2982,0.0236,0.4717
Zac,Warwick,154,19,3.53,2.56,0.534,0.515,13871,14440,0.5197,0.4803,0.5129,0.51,0.0361,0.0223,0.0073,0.003
Kha'Zix,Amumu,121,32,2.5,2.52,0.489,0.46,16810,12337,0.4763,0.5237,0.5083,0.4848,0.0498,0.0063,0.0054,0.0017
Trundle,Sejuani,48,113,3.18,3.12,0.528,0.52,13125,12555,0.5524,0.4476,0.4991,0.5138,0.0085,0.0168,0.0007,0.0009
Jax,Nunu & Willump,24,20,2.33,3.39,0.449,0.562,15132,12078,0.5041,0.4959,0.4894,0.505,0.0052,0.0373,0.0239,0.011
Viego,Gwen,234,887,2.47,2.46,0.491,0.464,16419,15795,0.4991,0.5009,0.4786,0.4859,0.0718,0.0113,0.1371,0.2427
Trundle,Poppy,48,78,3.09,2.7,0.52,0.479,12935,13519,0.5203,0.4797,0.4991,0.4965,0.0085,0.0305,0.0007,0.0381
Fiddlesticks,Nidalee,9,76,2.94,2.68,0.499,0.493,15950,16359,0.5571,0.4429,0.5293,0.4819,0.0349,0.104,0.0151,0.0465
Amumu,Karthus,32,30,2.47,2.62,0.43,0.551,11774,25558,0.5021,0.4979,0.4848,0.522,0.0063,0.0283,0.0017,0.0393
Warwick,Gwen,19,887,2.68,2.19,0.494,0.465,13371,16875,0.5516,0.4484,0.51,0.4859,0.0223,0.0113,0.003,0.2427
Kayn,Udyr,141,77,2.49,2.92,0.497,0.465,17007,11638,0.5286,0.4714,0.4961,0.4838,0.0639,0.0211,0.013,0.0151
Jax,Volibear,24,106,2.34,2.95,0.45,0.484,14366,12256,0.4784,0.5216,0.4894,0.5031,0.0052,0.0147,0.0239,0.0476
Amumu,Diana,32,131,2.75,2.47,0.481,0.496,12399,17413,0.4986,0.5014,0.4848,0.4855,0.0063,0.0876,0.0017,0.0866
Lee Sin,Lillia,64,876,3.02,2.47,0.528,0.497,15065,17233,0.5405,0.4595,0.5123,0.454,0.2982,0.0152,0.4717,0.0037
Amumu,Trundle,32,48,2.45,3.16,0.493,0.503,13748,13164,0.4435,0.5565,0.4848,0.4991,0.0063,0.0085,0.0017,0.0007
Morgana,Lee Sin,25,64,2.95,2.77,0.525,0.522,16115,14473,0.5114,0.4886,0.5135,0.5123,0.0793,0.2982,0.485,0.4717
Warwick,Kha'Zix,19,121,2.42,2.37,0.495,0.486,13220,17464,0.52,0.48,0.51,0.5083,0.0223,0.0498,0.003,0.0054
Nidalee,Ekko,76,245,2.67,2.77,0.488,0.484,17058,16875,0.4633,0.5367,0.4819,0.494,0.104,0.0476,0.0465,0.0128
Evelynn,Xin Zhao,28,5,2.79,2.4,0.518,0.483,18610,16554,0.4765,0.5235,0.5243,0.5188,0.0339,0.0734,0.0203,0.0173
Nidalee,Master Yi,76,11,2.63,2.18,0.483,0.462,15558,16138,0.4641,0.5359,0.4819,0.466,0.104,0.023,0.0465,0.0052
Kayn,Lee Sin,141,64,2.3,3.05,0.495,0.536,17225,16085,0.4851,0.5149,0.4961,0.5123,0.0639,0.2982,0.013,0.4717
Vi,Nunu & Willump,254,20,2.62,3.17,0.487,0.542,13832,10831,0.5139,0.4861,0.4944,0.505,0.0131,0.0373,0.0008,0.011
Lillia,Wukong,876,62,2.72,2.67,0.517,0.49,18200,15109,0.4722,0.5278,0.454,0.4928,0.0152,0.0079,0.0037,0.0097
Rek'Sai,Fiddlesticks,421,9,2.52,2.97,0.508,0.515,14247,15761,0.4413,0.5587,0.5038,0.5293,0.0507,0.0349,0.0542,0.0151
Diana,Wukong,131,62,2.43,2.97,0.512,0.515,18703,14823,0.4881,0.5119,0.4855,0.4928,0.0876,0.0079,0.0866,0.0097
Kindred,Elise,203,60,2.07,2.83,0.497,0.495,15645,14560,0.4616,0.5384,0.5016,0.5268,0.1107,0.1231,0.0594,0.514
Nidalee,Rammus,76,33,2.84,2.91,0.504,0.5,16790,11950,0.4626,0.5374,0.4819,0.5005,0.104,0.0151,0.0465,0.0178
Gragas,Wukong,79,62,2.91,2.77,0.476,0.461,14902,13767,0.4583,0.5417,0.5147,0.4928,0.0191,0.0079,0.0032,0.0097
Amumu,Kha'Zix,32,121,2.52,2.5,0.46,0.489,12337,16810,0.5237,0.4763,0.4848,0.5083,0.0063,0.0498,0.0017,0.0054
Vi,Taliyah,254,163,2.41,2.63,0.467,0.522,13173,17739,0.5094,0.4906,0.4944,0.5241,0.0131,0.0269,0.0008,0.0032
Kha'Zix,Trundle,121,48,2.53,2.93,0.481,0.508,17963,12810,0.4874,0.5126,0.5083,0.4991,0.0498,0.0085,0.0054,0.0007
Olaf,Nocturne,2,56,2.39,2.74,0.481,0.507,17024,15638,0.4868,0.5132,0.4805,0.498,0.0198,0.0378,0.0127,0.0236
Trundle,Elise,48,60,2.87,2.83,0.507,0.496,11642,15316,0.4868,0.5132,0.4991,0.5268,0.0085,0.1231,0.0007,0.514
Elise,Morgana,60,25,2.63,2.92,0.486,0.521,14745,15622,0.4988,0.5012,0.5268,0.5135,0.1231,0.0793,0.514,0.485
Ekko,Morgana,245,25,2.57,3.18,0.485,0.516,16101,16416,0.4607,0.5393,0.494,0.5135,0.0476,0.0793,0.0128,0.485
Vi,Amumu,254,32,2.55,2.8,0.489,0.478,13842,12652,0.4983,0.5017,0.4944,0.4848,0.0131,0.0063,0.0008,0.0017
Evelynn,Master Yi,28,11,3.17,2.02,0.511,0.465,19668,16795,0.5362,0.4638,0.5243,0.466,0.0339,0.023,0.0203,0.0052
Rammus,Viego,33,234,3.06,2.26,0.519,0.487,12713,15538,0.5476,0.4524,0.5005,0.4786,0.0151,0.0718,0.0178,0.1371
Elise,Karthus,60,30,2.74,2.4,0.487,0.565,15432,24614,0.5105,0.4895,0.5268,0.522,0.1231,0.0283,0.514,0.0393
Gragas,Kindred,79,203,2.85,2.29,0.475,0.506,14108,17338,0.503,0.497,0.5147,0.5016,0.0191,0.1107,0.0032,0.0594
Warwick,Morgana,19,25,2.26,3.2,0.478,0.529,11614,16905,0.468,0.532,0.51,0.5135,0.0223,0.0793,0.003,0.485
Sejuani,Nocturne,113,56,3.61,2.54,0.538,0.506,13448,15182,0.542,0.458,0.5138,0.498,0.0168,0.0378,0.0009,0.0236
Jax,Lee Sin,24,64,2.22,2.95,0.449,0.531,14403,14675,0.4905,0.5095,0.4894,0.5123,0.0052,0.2982,0.0239,0.4717
Udyr,Rumble,77,68,2.87,2.71,0.466,0.523,10652,18320,0.5006,0.4994,0.4838,0.4892,0.0211,0.1175,0.0151,0.2828
Udyr,Nocturne,77,56,2.89,2.66,0.483,0.506,11074,14675,0.4923,0.5077,0.4838,0.498,0.0211,0.0378,0.0151,0.0236
Zac,Kindred,154,203,3.56,2.32,0.514,0.516,12015,19382,0.52,0.48,0.5129,0.5016,0.0361,0.1107,0.0073,0.0594
Evelynn,Graves,28,104,3.13,2.34,0.504,0.471,19322,15790,0.5548,0.4452,0.5243,0.4524,0.0339,0.0537,0.0203,0.0228
Graves,Shyvana,104,102,2.51,2.77,0.479,0.447,16115,17017,0.4424,0.5576,0.4524,0.4748,0.0537,0.0057,0.0228,0.0008
Elise,Diana,60,131,2.9,2.32,0.507,0.502,14934,16679,0.5213,0.4787,0.5268,0.4855,0.1231,0.0876,0.514,0.0866
Volibear,Morgana,106,25,2.71,3.25,0.463,0.526,11510,16653,0.4619,0.5381,0.5031,0.5135,0.0147,0.0793,0.0476,0.485
Master Yi,Kayn,11,141,2.23,2.38,0.464,0.49,17692,16875,0.5169,0.4831,0.466,0.4961,0.023,0.0639,0.0052,0.013
Gragas,Hecarim,79,120,2.88,2.92,0.481,0.515,15829,14529,0.5183,0.4817,0.5147,0.4491,0.0191,0.0182,0.0032,0.019
Zac,Gragas,154,79,3.85,2.95,0.527,0.506,13720,16688,0.531,0.469,0.5129,0.5147,0.0361,0.0191,0.0073,0.0032
Rammus,Karthus,33,30,2.89,2.66,0.489,0.578,11506,27369,0.5149,0.4851,0.5005,0.522,0.0151,0.0283,0.0178,0.0393
Sejuani,Trundle,113,48,3.12,3.18,0.52,0.528,12555,13125,0.4476,0.5524,0.5138,0.4991,0.0168,0.0085,0.0009,0.0007
Warwick,Diana,19,131,2.87,2.25,0.524,0.503,13757,17580,0.5525,0.4475,0.51,0.4855,0.0223,0.0876,0.003,0.0866
Vi,Elise,254,60,2.36,2.8,0.48,0.504,13277,15118,0.501,0.499,0.4944,0.5268,0.0131,0.1231,0.0008,0.514
Master Yi,Ivern,11,427,2.07,3.07,0.462,0.458,14399,7164,0.5277,0.4723,0.466,0.5256,0.023,0.009,0.0052,0.0018
Ekko,Poppy,245,78,2.67,2.91,0.506,0.504,16842,14369,0.4821,0.5179,0.494,0.4965,0.0476,0.0305,0.0128,0.0381
Sejuani,Kindred,113,203,3.34,2.24,0.517,0.509,11747,18130,0.5146,0.4854,0.5138,0.5016,0.0168,0.1107,0.0009,0.0594
Lee Sin,Gragas,64,79,2.84,2.92,0.535,0.499,14533,15593,0.4936,0.5064,0.5123,0.5147,0.2982,0.0191,0.4717,0.0032
Gragas,Fiddlesticks,79,9,2.84,3.09,0.508,0.513,16041,17070,0.4286,0.5714,0.5147,0.5293,0.0191,0.0349,0.0032,0.0151
Vi,Fiddlesticks,254,9,2.59,3.03,0.482,0.518,14233,16280,0.502,0.498,0.4944,0.5293,0.0131,0.0349,0.0008,0.0151
Rek'Sai,Karthus,421,30,2.56,2.66,0.486,0.576,14092,25369,0.4758,0.5242,0.5038,0.522,0.0507,0.0283,0.0542,0.0393
Gragas,Graves,79,104,3.23,2.26,0.469,0.467,14684,15789,0.5902,0.4098,0.5147,0.4524,0.0191,0.0537,0.0032,0.0228
Master Yi,Sejuani,11,113,2.17,3.34,0.486,0.516,16784,11982,0.4872,0.5128,0.466,0.5138,0.023,0.0168,0.0052,0.0009
Kha'Zix,Sejuani,121,113,2.48,3.39,0.486,0.526,16906,12882,0.5007,0.4993,0.5083,0.5138,0.0498,0.0168,0.0054,0.0009
Elise,Zac,60,154,2.75,3.48,0.507,0.526,15984,13276,0.5015,0.4985,0.5268,0.5129,0.1231,0.0361,0.514,0.0073
Nidalee,Evelynn,76,28,2.53,3.0,0.489,0.508,15660,18803,0.4452,0.5548,0.4819,0.5243,0.104,0.0339,0.0465,0.0203
Gragas,Rumble,79,68,3.05,2.73,0.493,0.53,15690,19158,0.5322,0.4678,0.5147,0.4892,0.0191,0.1175,0.0032,0.2828
Xin Zhao,Hecarim,5,120,2.6,2.66,0.503,0.514,17115,13022,0.5595,0.4405,0.5188,0.4491,0.0734,0.0182,0.0173,0.019
