champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate,position
Malphite,Gangplank,54,41,2.58,2.01,0.5447,0.4553,0.384,0.384,15361.0,17378.0,0 days 00:16:42,0 days 00:19:19,0.527,0.473,0.5058,0.4902,0.046,0.0303,0.1194,0.0235,top
Cho'Gath,Gnar,31,150,2.1,2.27,0.5089,0.4911,0.375,0.39799999999999996,15673.0,21085.0,0 days 00:16:15,0 days 00:18:09,0.4809,0.5191,0.5029,0.5,0.01,0.0553,0.001,0.0649,top
Kennen,Singed,85,27,2.11,2.07,0.5424,0.4576,0.37,0.385,19131.0,14505.0,0 days 00:18:16,0 days 00:18:42,0.5176,0.4824,0.496,0.5142,0.0274,0.0101,0.0064,0.0013,top
Aatrox,Volibear,266,106,1.91,2.1,0.4472,0.5528,0.366,0.381,17858.0,17631.0,0 days 00:17:47,0 days 00:17:37,0.4983,0.5017,0.5033,0.5094,0.1485,0.0393,0.1015,0.0479,top
Lucian,Viego,236,234,1.83,1.75,0.5123,0.4877,0.376,0.381,17258.0,14489.0,0 days 00:16:37,0 days 00:15:01,0.5021,0.4979,0.4612,0.4815,0.0193,0.0141,0.0429,0.1378,top
Akali,Zac,84,154,1.93,2.65,0.4651,0.5349,0.373,0.419,20412.0,16480.0,0 days 00:17:53,0 days 00:18:23,0.4954,0.5046,0.4693,0.5083,0.0659,0.011000000000000001,0.2186,0.0074,top
Kayle,Renekton,10,58,1.74,2.11,0.375,0.625,0.36,0.375,17269.0,14678.0,0 days 00:15:00,0 days 00:18:12,0.5205,0.4795,0.5077,0.4912,0.0219,0.08800000000000001,0.0035,0.1333,top
Kalista,Rengar,429,107,1.26,2.44,0.3223,0.6777,0.35,0.42100000000000004,17000.0,19060.0,0 days 00:15:41,0 days 00:15:52,0.4238,0.5762,0.43799999999999994,0.4992,0.0055,0.0177,0.0029,0.011000000000000001,top
Viego,Heimerdinger,234,74,1.8,1.89,0.5337,0.4663,0.382,0.34600000000000003,15197.0,22037.0,0 days 00:16:16,0 days 00:17:10,0.4561,0.5439,0.4815,0.5131,0.0141,0.0086,0.1378,0.0085,top
Renekton,Sylas,58,517,1.9,1.89,0.513,0.48700000000000004,0.369,0.408,14821.0,16343.0,0 days 00:17:20,0 days 00:15:13,0.4914,0.5086,0.4912,0.5016,0.08800000000000001,0.1206,0.1333,0.242,top
Camille,Mordekaiser,164,82,1.87,1.84,0.3951,0.6049,0.384,0.359,17691.0,18765.0,0 days 00:16:52,0 days 00:18:21,0.5,0.5,0.5,0.4973,0.0328,0.0419,0.0107,0.0158,top
Illaoi,Dr. Mundo,420,36,1.56,2.52,0.4771,0.5229,0.32,0.366,24938.0,19662.0,0 days 00:17:56,0 days 00:15:52,0.4944,0.5056,0.4889,0.4979,0.0081,0.0063,0.0031,0.0009,top
Sett,Aatrox,875,266,1.72,2.13,0.4612,0.5388,0.36200000000000004,0.381,18593.0,18279.0,0 days 00:17:03,0 days 00:16:25,0.4843,0.5157,0.5074,0.5033,0.1382,0.1485,0.1052,0.1015,top
Jax,Renekton,24,58,1.61,1.96,0.4904,0.5096,0.34700000000000003,0.369,17892.0,14431.0,0 days 00:15:32,0 days 00:16:54,0.5013,0.4987,0.5016,0.4912,0.0422,0.08800000000000001,0.0243,0.1333,top
Garen,Jax,86,24,2.38,1.47,0.5646,0.4354,0.39299999999999996,0.33299999999999996,17599.0,16413.0,0 days 00:16:41,0 days 00:15:23,0.5607,0.4393,0.5028,0.5016,0.0341,0.0422,0.0168,0.0243,top
Darius,Rumble,122,68,2.05,1.92,0.5562,0.4438,0.385,0.405,15481.0,19411.0,0 days 00:17:37,0 days 00:16:21,0.5183,0.4817,0.5073,0.4868,0.0449,0.0289,0.1331,0.2814,top
Volibear,Maokai,106,57,2.47,2.17,0.7092,0.2908,0.429,0.38299999999999995,19173.0,15065.0,0 days 00:19:20,0 days 00:17:29,0.506,0.494,0.5094,0.5325,0.0393,0.0188,0.0479,0.0109,top
Cho'Gath,Ryze,31,13,2.38,1.81,0.6154,0.3846,0.41,0.344,15812.0,21505.0,0 days 00:17:07,0 days 00:18:24,0.5068,0.4932,0.5029,0.4426,0.01,0.0104,0.001,0.0025,top
Quinn,Jax,133,24,1.87,1.59,0.521,0.479,0.42100000000000004,0.34,19576.0,14145.0,0 days 00:16:33,0 days 00:16:44,0.5498,0.4502,0.5025,0.5016,0.0091,0.0422,0.0114,0.0243,top
Jayce,Tryndamere,126,23,1.79,1.89,0.414,0.586,0.385,0.358,22240.0,14853.0,0 days 00:14:45,0 days 00:16:56,0.52,0.48,0.4811,0.5069,0.0719,0.0164,0.0497,0.0044,top
Yasuo,Kennen,157,85,1.47,2.38,0.4199,0.5801,0.344,0.39,15346.0,16789.0,0 days 00:18:37,0 days 00:16:21,0.5014,0.4986,0.48200000000000004,0.496,0.0091,0.0274,0.1139,0.0064,top
Urgot,Quinn,6,133,2.13,1.74,0.5603,0.4397,0.397,0.409,15988.0,18358.0,0 days 00:17:16,0 days 00:16:37,0.522,0.478,0.5006,0.5025,0.0178,0.0091,0.0019,0.0114,top
Nasus,Warwick,75,19,1.93,1.84,0.4579,0.5421,0.35600000000000004,0.37200000000000005,18400.0,18720.0,0 days 00:18:30,0 days 00:17:17,0.5432,0.4568,0.4941,0.5144,0.0166,0.0116,0.0043,0.003,top
Akali,Darius,84,122,2.05,1.86,0.5265,0.4735,0.382,0.37,18391.0,15907.0,0 days 00:16:45,0 days 00:17:59,0.4882,0.5118,0.4693,0.5073,0.0659,0.0449,0.2186,0.1331,top
Quinn,Lee Sin,133,64,1.93,1.97,0.5119,0.4881,0.428,0.409,21138.0,15433.0,0 days 00:16:40,0 days 00:16:55,0.5383,0.4617,0.5025,0.5086,0.0091,0.0572,0.0114,0.4689,top
Heimerdinger,Viego,74,234,1.89,1.8,0.4663,0.5337,0.34600000000000003,0.382,22037.0,15197.0,0 days 00:17:10,0 days 00:16:16,0.5439,0.4561,0.5131,0.4815,0.0086,0.0141,0.0085,0.1378,top
Heimerdinger,Wukong,74,62,1.61,2.23,0.4383,0.5617,0.348,0.385,23833.0,14753.0,0 days 00:18:11,0 days 00:15:30,0.5396,0.4604,0.5131,0.5155,0.0086,0.0318,0.0085,0.0095,top
Renekton,Camille,58,164,1.99,1.87,0.5357,0.4643,0.39,0.38799999999999996,15969.0,18163.0,0 days 00:18:13,0 days 00:15:03,0.5138,0.4862,0.4912,0.5,0.08800000000000001,0.0328,0.1333,0.0107,top
Sylas,Shen,517,98,1.95,2.91,0.5244,0.4756,0.436,0.44799999999999995,15881.0,12839.0,0 days 00:20:13,0 days 00:16:43,0.4765,0.5235,0.5016,0.5191,0.1206,0.0775,0.242,0.1125,top
Nasus,Shen,75,98,1.83,3.25,0.5471,0.4529,0.35100000000000003,0.45399999999999996,15846.0,15751.0,0 days 00:20:15,0 days 00:16:40,0.4709,0.5291,0.4941,0.5191,0.0166,0.0775,0.0043,0.1125,top
Warwick,Ornn,19,516,1.86,2.47,0.6208,0.3792,0.40299999999999997,0.428,17435.0,17044.0,0 days 00:18:15,0 days 00:18:29,0.4614,0.5386,0.5144,0.5259,0.0116,0.0432,0.003,0.005,top
Rengar,Tryndamere,107,23,1.86,1.76,0.4964,0.5036,0.395,0.35700000000000004,19248.0,17768.0,0 days 00:14:44,0 days 00:17:18,0.4583,0.5417,0.501,0.5069,0.0175,0.0164,0.011000000000000001,0.0044,top
Lucian,Tryndamere,236,23,1.47,1.95,0.3944,0.6056,0.366,0.36,18981.0,14940.0,0 days 00:14:47,0 days 00:16:32,0.3978,0.6022,0.4612,0.5069,0.0193,0.0164,0.0429,0.0044,top
Yorick,Sion,83,14,1.96,2.56,0.5591,0.4409,0.326,0.39,22051.0,16332.0,0 days 00:19:39,0 days 00:16:01,0.5029,0.4971,0.4766,0.514,0.0054,0.0303,0.0033,0.0052,top
Dr. Mundo,Quinn,36,133,2.13,2.09,0.4324,0.5676,0.371,0.425,16059.0,22763.0,0 days 00:18:03,0 days 00:16:43,0.4554,0.5446,0.4922,0.4986,0.0063,0.0091,0.0009,0.0114,top
Mordekaiser,Irelia,82,39,1.93,1.51,0.5258,0.4742,0.36,0.368,18046.0,17735.0,0 days 00:16:44,0 days 00:17:21,0.5455,0.4545,0.4973,0.4577,0.0419,0.0677,0.0158,0.1462,top
Shen,Kayle,98,10,3.2,1.88,0.5724,0.4276,0.449,0.37799999999999995,10871.0,18153.0,0 days 00:16:24,0 days 00:20:33,0.4844,0.5156,0.5191,0.5077,0.0775,0.0219,0.1125,0.0035,top
Vayne,Akali,67,84,1.43,2.15,0.4128,0.5872,0.33399999999999996,0.37799999999999995,16803.0,15704.0,0 days 00:17:24,0 days 00:16:58,0.5,0.5,0.4963,0.4693,0.016,0.0659,0.0528,0.2186,top
Kennen,Kled,85,240,2.13,2.43,0.4322,0.5678,0.37799999999999995,0.42,19508.0,15064.0,0 days 00:16:40,0 days 00:18:54,0.4861,0.5139,0.496,0.5165,0.0274,0.0294,0.0064,0.0122,top
Nocturne,Quinn,56,133,2.2,1.58,0.5642,0.4358,0.39899999999999997,0.419,15034.0,18344.0,0 days 00:18:17,0 days 00:15:43,0.6154,0.3846,0.5331,0.5025,0.0142,0.0091,0.0231,0.0114,top
Illaoi,Urgot,420,6,1.62,2.0,0.551,0.449,0.34600000000000003,0.377,21227.0,18756.0,0 days 00:18:30,0 days 00:15:50,0.515,0.485,0.4889,0.5006,0.0081,0.0178,0.0031,0.0019,top
Jayce,Kled,126,240,1.87,2.4,0.4054,0.5946,0.41,0.434,22742.0,15109.0,0 days 00:16:03,0 days 00:16:36,0.5085,0.4915,0.4811,0.5165,0.0719,0.0294,0.0497,0.0122,top
Dr. Mundo,Malphite,36,54,2.43,2.43,0.5758,0.4242,0.391,0.375,18748.0,15761.0,0 days 00:19:58,0 days 00:16:21,0.5437,0.4563,0.4922,0.5049,0.0063,0.0455,0.0009,0.1198,top
Malphite,Zac,54,154,1.96,3.17,0.2982,0.7018,0.377,0.45299999999999996,16489.0,18034.0,0 days 00:16:50,0 days 00:19:43,0.4051,0.5949,0.5058,0.5083,0.046,0.011000000000000001,0.1194,0.0074,top
Riven,Wukong,92,62,1.91,1.99,0.4814,0.5186,0.368,0.39,15973.0,16371.0,0 days 00:17:22,0 days 00:17:05,0.51,0.49,0.5231,0.5155,0.04,0.0318,0.0043,0.0095,top
Nocturne,Yone,56,777,2.62,1.42,0.6961,0.3039,0.38299999999999995,0.387,16296.0,17559.0,0 days 00:16:57,0 days 00:15:13,0.6395,0.3605,0.5331,0.4743,0.0142,0.0071,0.0231,0.0515,top
Lee Sin,Yasuo,64,157,2.55,1.41,0.6622,0.3378,0.45299999999999996,0.349,18061.0,16926.0,0 days 00:16:00,0 days 00:15:38,0.5362,0.4638,0.5086,0.48200000000000004,0.0572,0.0091,0.4689,0.1139,top
Wukong,Renekton,62,58,2.06,2.01,0.4722,0.5278,0.38299999999999995,0.375,16710.0,15536.0,0 days 00:15:21,0 days 00:17:47,0.4935,0.5065,0.5155,0.4912,0.0318,0.08800000000000001,0.0095,0.1333,top
Yorick,Illaoi,83,420,2.38,1.21,0.6161,0.3839,0.337,0.26,20789.0,17928.0,0 days 00:17:22,0 days 00:15:55,0.6089,0.3911,0.4766,0.4887,0.0054,0.0081,0.0033,0.003,top
Maokai,Ryze,57,13,3.02,1.48,0.6115,0.3885,0.418,0.342,13945.0,19690.0,0 days 00:16:59,0 days 00:18:39,0.6026,0.3974,0.5325,0.4426,0.0188,0.0104,0.0109,0.0025,top
Renekton,Garen,58,86,1.84,2.25,0.4668,0.5332,0.363,0.381,15177.0,17954.0,0 days 00:16:14,0 days 00:16:03,0.4677,0.5323,0.4912,0.5028,0.08800000000000001,0.0341,0.1333,0.0168,top
Viego,Vayne,234,67,1.85,1.56,0.5586,0.4414,0.392,0.35,16005.0,18517.0,0 days 00:16:51,0 days 00:16:48,0.4924,0.5076,0.4815,0.4963,0.0141,0.016,0.1378,0.0528,top
Urgot,Akali,6,84,1.98,2.02,0.4585,0.5415,0.379,0.386,17522.0,16727.0,0 days 00:17:57,0 days 00:16:47,0.5416,0.4584,0.5006,0.4693,0.0178,0.0659,0.0019,0.2186,top
Singed,Wukong,27,62,2.12,2.15,0.4371,0.5629,0.402,0.379,18215.0,17822.0,0 days 00:18:09,0 days 00:17:34,0.5105,0.4895,0.5142,0.5155,0.0101,0.0318,0.0013,0.0095,top
Gangplank,Akali,41,84,1.98,2.11,0.4258,0.5742,0.381,0.371,18484.0,17317.0,0 days 00:19:04,0 days 00:16:23,0.4957,0.5043,0.4902,0.4693,0.0303,0.0659,0.0235,0.2186,top
Mordekaiser,Sylas,82,517,1.68,1.88,0.4858,0.5142,0.341,0.408,18279.0,17371.0,0 days 00:17:35,0 days 00:17:06,0.4939,0.5061,0.4973,0.5016,0.0419,0.1206,0.0158,0.242,top
Teemo,Tryndamere,17,23,1.59,1.85,0.3889,0.6111,0.332,0.34700000000000003,24718.0,15668.0,0 days 00:16:27,0 days 00:17:22,0.4937,0.5063,0.4977,0.5069,0.0139,0.0164,0.0104,0.0044,top
Ryze,Yorick,13,83,1.81,2.03,0.3566,0.6434,0.34299999999999997,0.32299999999999995,18255.0,16862.0,0 days 00:15:14,0 days 00:17:01,0.3868,0.6132,0.4447,0.4766,0.0104,0.0054,0.0025,0.0033,top
Vayne,Pantheon,67,80,1.4,2.27,0.4246,0.5754,0.35600000000000004,0.423,16605.0,17780.0,0 days 00:16:46,0 days 00:17:44,0.4938,0.5062,0.4963,0.5229,0.016,0.0077,0.0528,0.1064,top
Nocturne,Singed,56,27,2.1,1.97,0.5747,0.4253,0.41700000000000004,0.38299999999999995,16667.0,17243.0,0 days 00:17:05,0 days 00:16:47,0.4267,0.5733,0.5331,0.5142,0.0142,0.0101,0.0231,0.0013,top
Fiora,Jax,114,24,1.67,1.56,0.5199,0.4801,0.369,0.35100000000000003,17425.0,16877.0,0 days 00:16:14,0 days 00:15:58,0.4976,0.5024,0.508,0.5016,0.0525,0.0422,0.0698,0.0243,top
Trundle,Rumble,48,68,1.94,1.79,0.5528,0.4472,0.389,0.382,15413.0,19128.0,0 days 00:17:11,0 days 00:15:05,0.4883,0.5117,0.4917,0.4868,0.0065,0.0296,0.0007,0.27899999999999997,top
Lee Sin,Zac,64,154,1.91,2.66,0.4589,0.5411,0.433,0.449,20669.0,17309.0,0 days 00:17:44,0 days 00:16:22,0.4787,0.5213,0.5086,0.5083,0.0572,0.011000000000000001,0.4689,0.0074,top
Maokai,Poppy,57,78,2.44,2.2,0.4795,0.5205,0.4,0.37799999999999995,15597.0,17891.0,0 days 00:18:19,0 days 00:19:03,0.5523,0.4477,0.5325,0.5177,0.0188,0.0274,0.0109,0.0383,top
Renekton,Tryndamere,58,23,1.98,1.67,0.5014,0.4986,0.37,0.34,16742.0,17269.0,0 days 00:15:30,0 days 00:15:58,0.5103,0.4897,0.4912,0.5069,0.08800000000000001,0.0164,0.1333,0.0044,top
Yone,Jayce,777,126,1.6,1.96,0.4399,0.5601,0.342,0.39899999999999997,16553.0,20060.0,0 days 00:15:21,0 days 00:16:54,0.5025,0.4975,0.4778,0.4789,0.0071,0.0721,0.052000000000000005,0.0497,top
Gangplank,Sylas,41,517,1.91,2.08,0.4432,0.5568,0.37799999999999995,0.418,17825.0,17130.0,0 days 00:17:41,0 days 00:16:20,0.4575,0.5425,0.4902,0.5016,0.0303,0.1206,0.0235,0.242,top
Quinn,Aatrox,133,266,1.7,2.2,0.4111,0.5889,0.4,0.38,20015.0,15617.0,0 days 00:16:43,0 days 00:18:04,0.4938,0.5062,0.5025,0.5033,0.0091,0.1485,0.0114,0.1015,top
Lucian,Riven,236,92,1.53,2.07,0.4259,0.5741,0.36700000000000005,0.361,17262.0,13936.0,0 days 00:16:52,0 days 00:16:03,0.4646,0.5354,0.4612,0.5231,0.0193,0.04,0.0429,0.0043,top
Trundle,Singed,48,27,2.14,1.68,0.6809999999999999,0.319,0.39,0.384,18395.0,17907.0,0 days 00:17:43,0 days 00:14:55,0.6462,0.3538,0.4917,0.5132,0.0065,0.01,0.0007,0.0013,top
Vayne,Dr. Mundo,67,36,1.64,2.23,0.4797,0.5203,0.34,0.38,21877.0,13505.0,0 days 00:16:52,0 days 00:16:52,0.5839,0.4161,0.4963,0.4979,0.016,0.0063,0.0528,0.0009,top
Heimerdinger,Teemo,74,17,1.65,1.89,0.5386,0.4614,0.314,0.317,23222.0,19049.0,0 days 00:19:44,0 days 00:16:56,0.4987,0.5013,0.5131,0.4977,0.0086,0.0139,0.0085,0.0104,top
Sylas,Gnar,517,150,2.09,1.81,0.6326,0.3674,0.415,0.364,17448.0,16577.0,0 days 00:16:46,0 days 00:17:12,0.5312,0.4688,0.5016,0.5,0.1206,0.0553,0.242,0.0649,top
Singed,Garen,27,86,2.02,2.35,0.3859,0.6141,0.37,0.37,18167.0,17608.0,0 days 00:16:14,0 days 00:17:29,0.5366,0.4634,0.5142,0.5028,0.0101,0.0341,0.0013,0.0168,top
Kalista,Illaoi,429,420,1.86,1.44,0.6169,0.3831,0.385,0.297,23382.0,15894.0,0 days 00:17:55,0 days 00:15:15,0.5231,0.4769,0.43799999999999994,0.4887,0.0055,0.0081,0.0029,0.003,top
Ryze,Malphite,13,54,1.68,2.53,0.5172,0.4828,0.34700000000000003,0.382,17395.0,13331.0,0 days 00:19:41,0 days 00:15:55,0.4609,0.5391,0.4447,0.5049,0.0104,0.0455,0.0025,0.1198,top
Tryndamere,Fiora,23,114,1.76,1.6,0.5084,0.4916,0.35200000000000004,0.345,17308.0,19086.0,0 days 00:16:21,0 days 00:15:11,0.5119,0.4881,0.5069,0.508,0.0164,0.0525,0.0044,0.0698,top
Mordekaiser,Nasus,82,75,1.73,1.96,0.4968,0.5032,0.337,0.32799999999999996,23045.0,17084.0,0 days 00:18:07,0 days 00:16:49,0.5,0.5,0.4973,0.4941,0.0419,0.0166,0.0158,0.0043,top
Irelia,Volibear,39,106,1.35,2.59,0.3819,0.6181,0.354,0.414,16072.0,16527.0,0 days 00:16:56,0 days 00:17:20,0.4131,0.5869,0.4577,0.5094,0.0677,0.0393,0.1462,0.0479,top
Volibear,Vladimir,106,8,2.29,1.85,0.5814,0.4186,0.373,0.35100000000000003,14867.0,19185.0,0 days 00:17:41,0 days 00:18:13,0.5331,0.4669,0.5094,0.498,0.0393,0.0342,0.0479,0.0247,top
Kayle,Kled,10,240,1.81,2.41,0.3602,0.6398,0.377,0.435,18853.0,16381.0,0 days 00:15:34,0 days 00:17:47,0.5269,0.4731,0.5077,0.5165,0.0219,0.0294,0.0035,0.0122,top
Riven,Vladimir,92,8,2.14,1.69,0.6231,0.3769,0.387,0.348,17502.0,17164.0,0 days 00:17:59,0 days 00:16:38,0.5577,0.4423,0.5231,0.498,0.04,0.0342,0.0043,0.0247,top
Gnar,Maokai,150,57,2.03,2.47,0.4743,0.5257,0.386,0.409,19731.0,15414.0,0 days 00:18:33,0 days 00:16:47,0.4637,0.5363,0.5,0.5325,0.0553,0.0188,0.0649,0.0109,top
Volibear,Lucian,106,236,2.31,1.48,0.5534,0.4466,0.358,0.363,11992.0,17563.0,0 days 00:16:32,0 days 00:17:52,0.5839,0.4161,0.5094,0.4612,0.0393,0.0193,0.0479,0.0429,top
Lee Sin,Poppy,64,78,1.79,2.39,0.4438,0.5562,0.402,0.426,16534.0,17236.0,0 days 00:17:35,0 days 00:17:08,0.5016,0.4984,0.5086,0.5177,0.0572,0.0274,0.4689,0.0383,top
Rumble,Maokai,68,57,2.09,2.37,0.5514,0.4486,0.42200000000000004,0.38299999999999995,22285.0,14029.0,0 days 00:18:24,0 days 00:17:49,0.4718,0.5282,0.4868,0.5325,0.0289,0.0188,0.2814,0.0109,top
Kalista,Yasuo,429,157,1.57,1.79,0.5449,0.4551,0.371,0.397,17614.0,16207.0,0 days 00:15:55,0 days 00:15:37,0.5169,0.4831,0.43799999999999994,0.4773,0.0055,0.0091,0.0029,0.1144,top
Riven,Singed,92,27,2.1,1.89,0.621,0.379,0.39399999999999996,0.368,17734.0,17207.0,0 days 00:17:57,0 days 00:18:02,0.4966,0.5034,0.5231,0.5142,0.04,0.0101,0.0043,0.0013,top
Nasus,Yone,75,777,2.16,1.61,0.6121,0.3879,0.335,0.34600000000000003,16899.0,20981.0,0 days 00:16:45,0 days 00:16:50,0.5469,0.4531,0.4941,0.4743,0.0166,0.0071,0.0043,0.0515,top
Yone,Aatrox,777,266,1.68,2.2,0.4165,0.5835,0.365,0.382,20373.0,17734.0,0 days 00:16:34,0 days 00:17:09,0.485,0.515,0.4778,0.5043,0.0071,0.1491,0.052000000000000005,0.1015,top
Nasus,Akali,75,84,1.96,2.04,0.4943,0.5057,0.33,0.376,15928.0,20620.0,0 days 00:18:15,0 days 00:17:02,0.534,0.466,0.4941,0.4693,0.0166,0.0659,0.0043,0.2186,top
Lee Sin,Camille,64,164,2.04,1.98,0.5176,0.4824,0.43200000000000005,0.41,18193.0,18537.0,0 days 00:17:17,0 days 00:16:14,0.5069,0.4931,0.5086,0.5,0.0572,0.0328,0.4689,0.0107,top
Singed,Warwick,27,19,1.92,2.1,0.3232,0.6768,0.38799999999999996,0.405,18854.0,18105.0,0 days 00:17:29,0 days 00:18:37,0.5625,0.4375,0.5142,0.5144,0.0101,0.0116,0.0013,0.003,top
Lee Sin,Trundle,64,48,1.9,1.97,0.4102,0.5898,0.418,0.38799999999999996,18104.0,17908.0,0 days 00:14:32,0 days 00:17:02,0.4615,0.5385,0.5086,0.4938,0.0572,0.0065,0.4689,0.0007,top
Wukong,Kalista,62,429,2.82,1.09,0.7035,0.2965,0.426,0.32299999999999995,16618.0,15185.0,0 days 00:16:33,0 days 00:16:09,0.6094,0.3906,0.5155,0.4445,0.0318,0.0055,0.0095,0.0029,top
Dr. Mundo,Jax,36,24,2.34,1.59,0.5598,0.4402,0.375,0.33,17356.0,17198.0,0 days 00:17:10,0 days 00:16:10,0.5294,0.4706,0.4922,0.4994,0.0063,0.0423,0.0009,0.0246,top
Teemo,Akali,17,84,1.54,2.13,0.4071,0.5929,0.32299999999999995,0.376,21302.0,18129.0,0 days 00:19:04,0 days 00:17:12,0.4975,0.5025,0.4977,0.4693,0.0139,0.0659,0.0104,0.2186,top
Quinn,Poppy,133,78,1.6,2.46,0.4527,0.5473,0.39799999999999996,0.4,18278.0,13940.0,0 days 00:17:40,0 days 00:18:32,0.4516,0.5484,0.5025,0.5177,0.0091,0.0274,0.0114,0.0383,top
Vladimir,Akali,8,84,1.91,1.98,0.4374,0.5626,0.34700000000000003,0.37200000000000005,18466.0,17742.0,0 days 00:18:16,0 days 00:17:19,0.5259,0.4741,0.498,0.4693,0.0342,0.0659,0.0247,0.2186,top
Maokai,Lucian,57,236,2.8,1.39,0.5664,0.4336,0.395,0.348,13186.0,17345.0,0 days 00:16:18,0 days 00:16:53,0.6174,0.3826,0.5325,0.4612,0.0188,0.0193,0.0109,0.0429,top
Gnar,Vladimir,150,8,2.06,1.98,0.4966,0.5034,0.368,0.364,18576.0,19636.0,0 days 00:17:59,0 days 00:16:44,0.5099,0.4901,0.5,0.498,0.0553,0.0342,0.0649,0.0247,top
Ryze,Shen,13,98,1.61,3.53,0.4414,0.5586,0.361,0.451,18196.0,10368.0,0 days 00:21:03,0 days 00:15:18,0.4202,0.5798,0.4447,0.5182,0.0104,0.0779,0.0025,0.1132,top
Kayle,Jayce,10,126,1.83,2.11,0.3967,0.6033,0.364,0.406,14673.0,21955.0,0 days 00:15:40,0 days 00:18:08,0.4834,0.5166,0.5077,0.4811,0.0219,0.0719,0.0035,0.0497,top
Tryndamere,Nasus,23,75,1.71,2.09,0.4846,0.5154,0.33299999999999996,0.34600000000000003,18420.0,18067.0,0 days 00:17:33,0 days 00:15:31,0.5029,0.4971,0.5069,0.4941,0.0164,0.0166,0.0044,0.0043,top
Rengar,Kled,107,240,1.88,2.46,0.4695,0.5305,0.38799999999999996,0.45,18111.0,17498.0,0 days 00:15:19,0 days 00:17:08,0.4727,0.5273,0.501,0.5165,0.0175,0.0294,0.011000000000000001,0.0122,top
Camille,Lee Sin,164,64,1.98,2.04,0.4824,0.5176,0.41,0.43200000000000005,18537.0,18193.0,0 days 00:16:14,0 days 00:17:17,0.4931,0.5069,0.5,0.5086,0.0328,0.0572,0.0107,0.4689,top
Yasuo,Gnar,157,150,1.57,2.38,0.4647,0.5353,0.35,0.39399999999999996,16922.0,15748.0,0 days 00:16:45,0 days 00:16:24,0.5018,0.4982,0.48200000000000004,0.5,0.0091,0.0553,0.1139,0.0649,top
Viego,Warwick,234,19,1.36,2.31,0.2851,0.7149,0.359,0.41700000000000004,17428.0,17146.0,0 days 00:17:13,0 days 00:18:00,0.41,0.59,0.4815,0.5144,0.0141,0.0116,0.1378,0.003,top
Camille,Rengar,164,107,2.03,1.75,0.493,0.507,0.397,0.386,18740.0,17349.0,0 days 00:16:52,0 days 00:16:56,0.5251,0.4749,0.5,0.501,0.0328,0.0175,0.0107,0.011000000000000001,top
Yasuo,Jax,157,24,1.42,2.01,0.359,0.6409999999999999,0.354,0.375,15128.0,16787.0,0 days 00:15:48,0 days 00:16:33,0.4792,0.5208,0.48200000000000004,0.5016,0.0091,0.0422,0.1139,0.0243,top
Renekton,Nasus,58,75,2.0,1.91,0.4998,0.5002,0.371,0.344,17450.0,17577.0,0 days 00:17:44,0 days 00:15:25,0.4877,0.5123,0.4912,0.4941,0.08800000000000001,0.0166,0.1333,0.0043,top
Lee Sin,Garen,64,86,2.0,2.28,0.4816,0.5184,0.418,0.391,18668.0,18105.0,0 days 00:15:38,0 days 00:16:47,0.478,0.522,0.5086,0.5028,0.0572,0.0341,0.4689,0.0168,top
Ornn,Vayne,516,67,2.62,1.39,0.5526,0.4474,0.409,0.34700000000000003,11701.0,20538.0,0 days 00:16:58,0 days 00:17:55,0.546,0.45399999999999996,0.5259,0.4963,0.0432,0.016,0.005,0.0528,top
Nasus,Trundle,75,48,1.64,1.9,0.3529,0.6471,0.32,0.37,16376.0,18953.0,0 days 00:15:14,0 days 00:17:56,0.4931,0.5069,0.4941,0.4938,0.0166,0.0065,0.0043,0.0007,top
Vladimir,Garen,8,86,1.94,2.17,0.5046,0.4954,0.349,0.35,20220.0,16087.0,0 days 00:16:43,0 days 00:17:36,0.5,0.5,0.498,0.5028,0.0342,0.0341,0.0247,0.0168,top
Zac,Jax,154,24,2.96,1.41,0.6297,0.3703,0.449,0.32299999999999995,17226.0,18269.0,0 days 00:17:09,0 days 00:17:02,0.5255,0.4745,0.5083,0.5016,0.011000000000000001,0.0422,0.0074,0.0243,top
Malphite,Quinn,54,133,3.02,1.56,0.6563,0.3437,0.42,0.392,15578.0,15854.0,0 days 00:19:03,0 days 00:17:16,0.5888,0.4112,0.5058,0.5025,0.046,0.0091,0.1194,0.0114,top
Volibear,Gwen,106,887,2.13,1.63,0.5401,0.4599,0.385,0.363,16791.0,19540.0,0 days 00:17:11,0 days 00:17:04,0.5222,0.4778,0.5094,0.5003,0.0393,0.0608,0.0479,0.2419,top
Pantheon,Rengar,80,107,2.04,1.89,0.5137,0.4863,0.447,0.39899999999999997,19265.0,16593.0,0 days 00:16:33,0 days 00:16:39,0.48,0.52,0.5229,0.501,0.0077,0.0175,0.1064,0.011000000000000001,top
