champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Malphite,Talon,54,91,2.74,2.04,0.5519,0.4481,0.446,0.458,17540,18166,0 days 00:18:44,0 days 00:18:12,0.5356,0.4644,0.5346,0.5156,0.0129,0.0862,0.1194,0.183
Qiyana,Renekton,246,58,1.93,2.22,0.3766,0.6234,0.45,0.423,18494,15776,0 days 00:15:35,0 days 00:18:56,0.4718,0.5282,0.5096,0.4974,0.0724,0.0196,0.1252,0.1333
Veigar,Aurelion Sol,45,136,2.42,2.69,0.56,0.44,0.458,0.46,18789,16491,0 days 00:19:10,0 days 00:17:59,0.4531,0.5469,0.4841,0.5528,0.006,0.0067,0.0007,0.0006
Cho'Gath,Zed,31,238,2.29,2.12,0.5739,0.4261,0.407,0.444,16596,20756,0 days 00:17:58,0 days 00:17:54,0.5193,0.4807,0.5178,0.5001,0.0058,0.126,0.001,0.4129
Neeko,Irelia,518,39,2.49,1.59,0.4639,0.5361,0.444,0.407,18131,18131,0 days 00:17:39,0 days 00:17:38,0.5731,0.4269,0.5324,0.454,0.0084,0.0348,0.0021,0.1462
Lissandra,Gwen,127,887,2.38,2.01,0.5,0.5,0.473,0.398,17904,17170,0 days 00:17:28,0 days 00:16:26,0.4388,0.5612,0.5103,0.4874,0.0158,0.0118,0.0024,0.2419
Yone,Viktor,777,112,2.16,2.24,0.6346,0.3654,0.4,0.4,17351,20208,0 days 00:17:49,0 days 00:17:33,0.4881,0.5119,0.4847,0.5027,0.0629,0.0552,0.0515,0.0086
Cassiopeia,Sylas,69,517,2.2,1.98,0.5888,0.4112,0.465,0.448,22559,17005,0 days 00:18:28,0 days 00:17:45,0.5422,0.4578,0.5078,0.4944,0.0134,0.1351,0.0039,0.242
Yasuo,Zoe,157,142,1.8,2.62,0.4523,0.5477,0.391,0.45,15443,17192,0 days 00:18:07,0 days 00:17:06,0.5417,0.4583,0.4945,0.5021,0.0824,0.042,0.1139,0.0294
Lux,Viktor,99,112,3.13,2.18,0.5761,0.4239,0.467,0.395,18468,19763,0 days 00:18:28,0 days 00:18:37,0.4765,0.5235,0.4811,0.5027,0.0125,0.0552,0.0037,0.0086
Malzahar,LeBlanc,90,7,2.23,2.73,0.4148,0.5852,0.413,0.439,18685,15178,0 days 00:19:20,0 days 00:16:38,0.5623,0.4377,0.5242,0.4971,0.0138,0.0821,0.0045,0.1215
Sion,Renekton,14,58,2.42,1.9,0.2424,0.7576,0.431,0.413,15602,16027,0 days 00:16:29,0 days 00:18:19,0.6232,0.3768,0.5283,0.4974,0.0054,0.0196,0.0051,0.1333
Qiyana,Cassiopeia,246,69,2.37,1.71,0.588,0.412,0.461,0.398,18481,17242,0 days 00:17:47,0 days 00:17:57,0.5388,0.4612,0.5096,0.5078,0.0724,0.0134,0.1252,0.0039
Veigar,Qiyana,45,246,2.09,2.13,0.3646,0.6354,0.429,0.437,18046,19223,0 days 00:18:09,0 days 00:18:00,0.5157,0.4843,0.4841,0.5096,0.006,0.0724,0.0007,0.1252
Syndra,Wukong,134,62,1.86,2.56,0.4559,0.5441,0.403,0.431,18241,16535,0 days 00:17:10,0 days 00:17:15,0.4545,0.5455,0.4653,0.5194,0.0152,0.0054,0.0024,0.0095
Lissandra,Sett,127,875,2.42,2.18,0.2408,0.7592,0.435,0.429,18715,18002,0 days 00:17:05,0 days 00:18:33,0.5298,0.4702,0.5103,0.5113,0.0158,0.0199,0.0024,0.1052
Viego,Tristana,234,18,1.95,2.27,0.4606,0.5394,0.414,0.43,13468,15869,0 days 00:15:10,0 days 00:16:32,0.4728,0.5272,0.5035,0.5027,0.053,0.0094,0.1378,0.0498
Zoe,Irelia,142,39,2.43,1.74,0.4084,0.5916,0.462,0.407,19091,16997,0 days 00:17:20,0 days 00:18:28,0.4981,0.5019,0.5021,0.454,0.042,0.0348,0.0294,0.1462
Akali,Annie,84,1,2.22,2.43,0.5321,0.4679,0.43,0.467,17651,20830,0 days 00:18:37,0 days 00:18:49,0.4601,0.5399,0.4776,0.5412,0.0869,0.0109,0.2186,0.0012
Malphite,Lissandra,54,127,2.25,2.56,0.5118,0.4882,0.424,0.477,15601,17708,0 days 00:17:07,0 days 00:18:27,0.4599,0.5401,0.5346,0.5103,0.0129,0.0158,0.1194,0.0024
Veigar,Sylas,45,517,2.28,2.09,0.3663,0.6337,0.462,0.455,20369,18779,0 days 00:18:12,0 days 00:18:29,0.5232,0.4768,0.4841,0.4944,0.006,0.1351,0.0007,0.242
Cho'Gath,Ahri,31,103,2.09,2.46,0.5781,0.4219,0.405,0.434,14889,17831,0 days 00:17:38,0 days 00:17:42,0.4851,0.5149,0.5178,0.5163,0.0058,0.0383,0.001,0.004
Yasuo,Zed,157,238,1.6,2.49,0.4002,0.5998,0.386,0.458,16332,19409,0 days 00:17:41,0 days 00:17:00,0.5031,0.4969,0.4945,0.5001,0.0824,0.126,0.1139,0.4129
